Experiment,Sample,Cells,Input_replicate,Input_adapter,Input_fastq,CLIP_replicate,CLIP_adapter,CLIP_fastq,RBP,Accession,Manual_QC,Comments
DEK_HepG2_4020,DEK_HepG2_4020,HepG2,1,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA5.fasta,/projects/ps-yeolab4/seqdata/20190314_Encode_Stefan_Chaim_eCLIP/igm-storage1.ucsd.edu/190312_K00180_0768_AHYGGTBBXX_SR75_Combo/4020_INPUT1_S17_L007_R1_001.fastq.gz,1,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA1.fasta,/projects/ps-yeolab4/seqdata/20190314_Encode_Stefan_Chaim_eCLIP/igm-storage1.ucsd.edu/190312_K00180_0768_AHYGGTBBXX_SR75_Combo/4020_CLIP1_S18_L007_R1_001.fastq.gz,DEK,4020,PASS,binding many snoRNA
DEK_HepG2_4020,DEK_HepG2_4020,HepG2,2,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA5.fasta,/projects/ps-yeolab4/seqdata/20190314_Encode_Stefan_Chaim_eCLIP/igm-storage1.ucsd.edu/190312_K00180_0768_AHYGGTBBXX_SR75_Combo/4020_INPUT2_S19_L007_R1_001.fastq.gz,2,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA1.fasta,/projects/ps-yeolab4/seqdata/20190314_Encode_Stefan_Chaim_eCLIP/igm-storage1.ucsd.edu/190312_K00180_0768_AHYGGTBBXX_SR75_Combo/4020_CLIP2_S20_L007_R1_001.fastq.gz,DEK,4020,PASS,binding many snoRNA
PSMA1_HepG2_4022,PSMA1_HepG2_4022,HepG2,1,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA5.fasta,/projects/ps-yeolab4/seqdata/20190314_Encode_Stefan_Chaim_eCLIP/igm-storage1.ucsd.edu/190312_K00180_0768_AHYGGTBBXX_SR75_Combo/4022_INPUT1_S13_L006_R1_001.fastq.gz,1,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA1.fasta,/projects/ps-yeolab4/seqdata/20190314_Encode_Stefan_Chaim_eCLIP/igm-storage1.ucsd.edu/190312_K00180_0768_AHYGGTBBXX_SR75_Combo/4022_CLIP1_S14_L006_R1_001.fastq.gz,PSMA1,4022,SHELVE,not specific binding seem to happen 1/3 of the peaks in batch10
PSMA1_HepG2_4022,PSMA1_HepG2_4022,HepG2,2,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA5.fasta,/projects/ps-yeolab4/seqdata/20190314_Encode_Stefan_Chaim_eCLIP/igm-storage1.ucsd.edu/190312_K00180_0768_AHYGGTBBXX_SR75_Combo/4022_INPUT2_S15_L006_R1_001.fastq.gz,2,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA1.fasta,/projects/ps-yeolab4/seqdata/20190314_Encode_Stefan_Chaim_eCLIP/igm-storage1.ucsd.edu/190312_K00180_0768_AHYGGTBBXX_SR75_Combo/4022_CLIP2_S16_L006_R1_001.fastq.gz,PSMA1,4022,SHELVE,not specific binding seem to happen 1/3 of the peaks in batch10
RBFOX3_HepG2_4023,RBFOX3_HepG2_4023,HepG2,1,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA5.fasta,/projects/ps-yeolab4/seqdata/20190314_Encode_Stefan_Chaim_eCLIP/igm-storage1.ucsd.edu/190312_K00180_0768_AHYGGTBBXX_SR75_Combo/4023_INPUT1_S21_L007_R1_001.fastq.gz,1,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA1.fasta,/projects/ps-yeolab4/seqdata/20190314_Encode_Stefan_Chaim_eCLIP/igm-storage1.ucsd.edu/190312_K00180_0768_AHYGGTBBXX_SR75_Combo/4023_CLIP1_S22_L007_R1_001.fastq.gz,RBFOX3,4023,SHELVE,RBFOX3 is lowly expressed in blood
RBFOX3_HepG2_4023,RBFOX3_HepG2_4023,HepG2,2,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA5.fasta,/projects/ps-yeolab4/seqdata/20190314_Encode_Stefan_Chaim_eCLIP/igm-storage1.ucsd.edu/190312_K00180_0768_AHYGGTBBXX_SR75_Combo/4023_INPUT2_S23_L007_R1_001.fastq.gz,2,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA1.fasta,/projects/ps-yeolab4/seqdata/20190314_Encode_Stefan_Chaim_eCLIP/igm-storage1.ucsd.edu/190312_K00180_0768_AHYGGTBBXX_SR75_Combo/4023_CLIP2_S24_L007_R1_001.fastq.gz,RBFOX3,4023,SHELVE,RBFOX3 is lowly expressed in blood
FXR2_HepG2_4098,FXR2_HepG2_4098,HepG2,1,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/projects/ps-yeolab4/seqdata/20190923_eric_encore_clips/igm-storage1.ucsd.edu/190911_K00180_0897_BH5MNFBBXY_SR75_Combo_2/4098_INPUT1_S3_L008_R1_001.fastq.gz,1,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA2.fasta,/projects/ps-yeolab4/seqdata/20190923_eric_encore_clips/igm-storage1.ucsd.edu/190911_K00180_0897_BH5MNFBBXY_SR75_Combo_2/4098_CLIP1_S1_L008_R1_001.fastq.gz,FXR2,4098,PASS,"pass, very clear enrichment in CDS"
FXR2_HepG2_4098,FXR2_HepG2_4098,HepG2,2,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/projects/ps-yeolab4/seqdata/20190923_eric_encore_clips/igm-storage1.ucsd.edu/190911_K00180_0897_BH5MNFBBXY_SR75_Combo_2/4098_INPUT2_S4_L008_R1_001.fastq.gz,2,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA2.fasta,/projects/ps-yeolab4/seqdata/20190923_eric_encore_clips/igm-storage1.ucsd.edu/190911_K00180_0897_BH5MNFBBXY_SR75_Combo_2/4098_CLIP2_S2_L008_R1_001.fastq.gz,FXR2,4098,PASS,"pass, very clear enrichment in CDS"
TARDBP_HepG2_4110,TARDBP_HepG2_4110,HepG2,1,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/projects/ps-yeolab4/seqdata/20190923_eric_encore_clips/igm-storage1.ucsd.edu/190911_K00180_0897_BH5MNFBBXY_SR75_Combo_2/4110_INPUT1_S11_L008_R1_001.fastq.gz,1,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/projects/ps-yeolab4/seqdata/20190923_eric_encore_clips/igm-storage1.ucsd.edu/190911_K00180_0897_BH5MNFBBXY_SR75_Combo_2/4110_CLIP1_S9_L008_R1_001.fastq.gz,TARDBP,4110,PASS,
TARDBP_HepG2_4110,TARDBP_HepG2_4110,HepG2,2,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/projects/ps-yeolab4/seqdata/20190923_eric_encore_clips/igm-storage1.ucsd.edu/190911_K00180_0897_BH5MNFBBXY_SR75_Combo_2/4110_INPUT2_S12_L008_R1_001.fastq.gz,2,/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/projects/ps-yeolab4/seqdata/20190923_eric_encore_clips/igm-storage1.ucsd.edu/190911_K00180_0897_BH5MNFBBXY_SR75_Combo_2/4110_CLIP2_S10_L008_R1_001.fastq.gz,TARDBP,4110,PASS,
